method,dist,N,n_pieces,ns,js_div,sup_cdf_err,dkw_eps,dkw_ok
ITS-linear,gaussian,100,10,,0.141468,0.080663,0.135810,True
ITS-linear,gaussian,1000,10,,0.019119,0.035004,0.042947,True
ITS-linear,gaussian,10000,10,,0.013254,0.039253,0.013581,False
ITS-linear,gaussian,100000,10,,0.011508,0.036152,0.004295,False
ITS-linear,gaussian,100,100,,0.141539,0.070181,0.135810,True
ITS-linear,gaussian,1000,100,,0.017340,0.055658,0.042947,False
ITS-linear,gaussian,10000,100,,0.001196,0.008513,0.013581,True
ITS-linear,gaussian,100000,100,,0.000146,0.002041,0.004295,True
ITS-linear,gaussian,100,500,,0.148696,0.094135,0.135810,True
ITS-linear,gaussian,1000,500,,0.014385,0.020935,0.042947,True
ITS-linear,gaussian,10000,500,,0.001028,0.006256,0.013581,True
ITS-linear,gaussian,100000,500,,0.000136,0.003135,0.004295,True
ITS-alias,gaussian,100,10,,0.144396,0.056957,0.135810,True
ITS-alias,gaussian,1000,10,,0.022317,0.029990,0.042947,True
ITS-alias,gaussian,10000,10,,0.012403,0.039540,0.013581,False
ITS-alias,gaussian,100000,10,,0.012024,0.035835,0.004295,False
ITS-alias,gaussian,100,100,,0.123330,0.037362,0.135810,True
ITS-alias,gaussian,1000,100,,0.014754,0.022564,0.042947,True
ITS-alias,gaussian,10000,100,,0.001414,0.007945,0.013581,True
ITS-alias,gaussian,100000,100,,0.000155,0.002291,0.004295,True
ITS-alias,gaussian,100,500,,0.145664,0.127009,0.135810,True
ITS-alias,gaussian,1000,500,,0.012600,0.026263,0.042947,True
ITS-alias,gaussian,10000,500,,0.001222,0.010688,0.013581,True
ITS-alias,gaussian,100000,500,,0.000123,0.003875,0.004295,True
ARS,gaussian,100,,3,0.132292,0.109966,0.135810,True
ARS,gaussian,1000,,3,0.011056,0.022009,0.042947,True
ARS,gaussian,10000,,3,0.001661,0.012372,0.013581,True
ARS,gaussian,100000,,3,0.000109,0.002277,0.004295,True
ARS,gaussian,100,,10,0.124448,0.086739,0.135810,True
ARS,gaussian,1000,,10,0.014484,0.043547,0.042947,False
ARS,gaussian,10000,,10,0.001074,0.011225,0.013581,True
ARS,gaussian,100000,,10,0.000123,0.003345,0.004295,True
ARS,gaussian,100,,20,0.148849,0.038978,0.135810,True
ARS,gaussian,1000,,20,0.011096,0.035055,0.042947,True
ARS,gaussian,10000,,20,0.001193,0.006431,0.013581,True
ARS,gaussian,100000,,20,0.000135,0.003816,0.004295,True
ARS,gaussian,100,,50,0.102768,0.048789,0.135810,True
ARS,gaussian,1000,,50,0.015624,0.021923,0.042947,True
ARS,gaussian,10000,,50,0.001627,0.006477,0.013581,True
ARS,gaussian,100000,,50,0.000131,0.003052,0.004295,True
